mod_name,Name,Job title on Etheruem Foudation,Job title 1,Job Title 2,Job Title 3,Company1,Job title in other company,Company2,Job title in other company 2,Company3,Job title in other company 3,Job title 2 in other company,Job title in other company 4,Company4,author_id,co_matched_names,extra_in_co
duncanwestland,Duncan Westland,,Head of Blockchain,,,EY,,,,,,,,,452,Duncan Westland,
edsonayllon,Edson Ayllon,,Technical Product Manager,,,Dhedge Dao,,,,,,,,,133,Edson Ayllon,
elibensasson,Eli Ben Sasson,,Co-founder,chairman,,StarkWare,,,,,,,,,346,Eli Ben Sasson,
ericconner,Eric Conner,Angel Investor,Co-founder,,,EthHUb,,,,,,,,,130,Eric Conner,
ericdvorsak,Eric Dvorsak,,CTO,,,Brian,,,,,,,,,348,Eric Dvorsak,
ericmartihaynes,Eric Marti Haynes,,Blockchain Engineer,,,Nethermind,,,,,,,,,395,Eric Marti Haynes,
erikmarks,Erik Marks,,Director of Product Management,,,ConsenSys,,,,,,,,,167,Erik Marks,
ernestogarcia,Ernesto Garcia,,Smart Contract Engineer,,,OpenZeppelin,,,,,,,,,297,Ernesto Garcia,
estebanmino,Esteban Mino,,engineer,,,Rainbow,,,,,,,,,304,Esteban Mino,
ethany.tsai,Ethan Y. Tsai,,Core Developer,,,Solv Foundation,,,,,,,,,464,Ethan Y. Tsai,
eyaleithcowich,Eyal Eithcowich,,Founder,CEO,,DeepDAO,,,,,,,,,532,Eyal Eithcowich,
fabianvogelsteller,Fabian Vogelsteller,,Founder,Chief Blockchain Architect,,LUKSO,,,,,,,,,7,Fabian Vogelsteller,
felixlange,Felix Lange,,Founder,Chief Blockchain Architect,,LUKSO,,,,,,,,,6,Felix Lange,
franciscogiordano,Francisco Giordano,,Smart Contracts,,,OpenZeppelin,,,,,,,,,76,Francisco Giordano,
g.nicholasd???andrea,g. nicholas d'andrea,,Senior Engineer,,,Knights of Degen,,,,,,,,,59,g. nicholas d'andrea,
gabrielbarros,Gabriel Barros,,Blockchain Developer,,,Fleek,,,,,,,,,106,Gabriel Barros,
gaurangtorvekar,Gaurang Torvekar,,Co-founder,CEO,,Indorse,Co-founder,Metalinq,Blockchain Advisor,Zeeon,,,,,279,Gaurang Torvekar,
gavinwood,Gavin Wood,,Founder,,,Parity Technologies,,,,,,,,,13,Gavin Wood,
georgespasov,George Spasov,,Founder,Blockchain Architect,,LimeChain,,,,,,,,,377,George Spasov,
gerhardwagner,Gerhard Wagner,,Security engineer,,,Delphi Digital,,,,,,,,,87,Gerhard Wagner,
gianlucaperletti,Gianluca Perletti,,CTO,,,NoKu AG,,,,,,,,,155,Gianluca Perletti,
giuseppebertone,Giuseppe Bertone,,Developer Advocate,,,Swirlds Labs,,,,,,,,,149,Giuseppe Bertone,
gregcolvin,Greg Colvin,,Enigneer,developer,advisor,Colvin and Company,,,,,,,,,20,Greg Colvin,
gregorymarkou,Gregory Markou,,Co-founder,CFO,,ChainSafe Systems,,,,,,,,,108,Gregory Markou,
gregoryrocco,Gregory Rocco,,Co-founder,,,"Spruce Systems, Inc.",,,,,,,,,376,Gregory Rocco,
hermanjunge,Herman Junge,,Lead Security Technical Manager,,,ConsenSys,,,,,,,,,162,Herman Junge,
huazhang,Hua Zhang,,Engineer,,,Concensus Technologies,,,,,,,,,141,Hua Zhang,
hudsonjameson,Hudson Jameson,,CEO,,,Hudsworth Consulting,,,,,,,,,5,Hudson Jameson,
hyungsukkang,Hyungsuk Kang,,Founder,,,Standard Protocol,,,,,,,,,253,Hyungsuk Kang,
idogershtein,Ido Gershtein,,Researcher,,,DAOstack,,,,,,,,,472,Ido Gershtein,
ignaciomazzara,Ignacio Mazzara,,Engineer Manager,,,Decentraland,,,,,,,,,228,Ignacio Mazzara,
isaacpatka,Isaac Patka,,CTO,,,Bloom Protocol,,,,,,,,,270,Isaac Patka,
iurimatias,Iuri Matias,,Lead Developer,,,Status.im,,,,,,,,,548,Iuri Matias,
jacobevans,Jacob Evans,,Blockchain Engineer,,,0x,,,,,,,,,430,Jacob Evans,
jacquesdafflon,Jacques Dafflon,,Senior developer,,,informatics,blockchain developer,TrueLevel,,,,,,,33,Jacques Dafflon,
jalilwahdatehagh,Jalil Wahdatehagh,,Founder,,,Scapes Inc.,Founder,1001.digital,,,,,,,394,Jalil Wahdatehagh,
jamesgrimmelmann,James Grimmelmann,,Tessler Family Professor,,,Cornell Tech,,,,,,,,,252,James Grimmelmann,
jamesmorgan,James Morgan,,Co-founder,,,BlockRocket,,,,,,,,,361,James Morgan,
jamessangalli,James Sangalli,,Solidity Engineer,,,Perion,,,,,,,,,306,James Sangalli,
jamestherien,James Therien,,Founder,,,Turing Complete Inc,,,,,,,,,449,James Therien,
janturk,Jan Turk,,Solidity engineer,,,MRK,CEO,Informacijsko komunikacijske storitve,IT Manager,Elektromehanika Turk,Cisco Networking Instructor,Blockchain research & development,Telecommunications Faculty of Electrical Engineering,,60,Jan Turk,
jaylogelin,Jay Logelin,,Tech Lead,Staff Software Engineer,,Protocol Labs,,,,,,,,,46,Jay Logelin,
jiangshanyu,Jiangshan Yu,,Senior Lecture,,,Monash University,Deputy Director,Algorand Centre of Excellence on Sustainability Informatics for the Pacific,Research Director,Monash Blockchain Technology Centre,,,,,453,Jiangshan Yu,
jimmcdonald,Jim McDonald,,CTO,,,Attestant,,,,,,,,,68,Jim McDonald,
joachimlebrun,Joachim Lebrun,,Head of Blockchain,,,Tokeny,,,,,,,,,189,Joachim Lebrun,
joelthorstensson,Joel Thorstensson,,Co-founder,,,3Box Labs,,,,,,,,,148,Joel Thorstensson,
joeltorstensson,Joel Torstensson,,Co-founder,,,3Box Lab,,,,,,,,,312,Joel Torstensson,
joeysantoro,Joey Santoro,Wizard,Founder,,,Fei Protocol,,,,,,,,,209,Joey Santoro,
johnadler,John Adler,,Co-founder,Chief Research Officer,,Celestia Labs,,,,,,,,,124,John Adler,
johnshiple,John Shiple,,CTO,,,,,,,,,,,,85,John Shiple,
johnzettler,John Zettler,,Lead Product Manager,Wrapped Assets & Liquid Staking,,Coinbase,,,,,,,,,436,John Zettler,
jonathanunderwood,Jonathan Underwood,,Chief Bitcoin Officer,,,Bitbank,,,,,,,,,150,Jonathan Underwood,
jordanschalm,Jordan Schalm,,Senior Software Engineer,,,Dapper Labs,,,,,,,,,435,Jordan Schalm,
jordibaylina,Jordi Baylina,,Tech Lead,,,Polygon,Tech Lead,iden3,,,,,,,36,Jordi Baylina,
jorgeizquierdo,Jorge Izquierdo,,CEO,,,Aragon One,Co-founder,Aragon,,,,,,,42,Jorge Izquierdo,
joshklopfenstein,Josh Klopfenstein,,Junior Developer,,,Nethermind,Undergraduate Researcher,The University of Texas at San Antonio,,,,,,,484,Josh Klopfenstein,
joshuatan,Joshua Tan,,PhD in computer science,,,Oxford,,,,,,,,,218,Joshua Tan,
juanblanco,Juan Blanco,,Founder,,,Nethereum,,,,,,,,,354,Juan Blanco,
julianorizzo,Juliano Rizzo,,Founder,CEO,,Coinspect,,,,,,,,,70,Juliano Rizzo,
juliansvirsky,Julian Svirsky,,CEO,,,ATLANT,,,,,,,,,332,Julian Svirsky,
juliantraversa,Julian Traversa,,Founder,,,Swivel Finance,,,,,,,,,241,Julian Traversa,
juliofaura,Julio Faura,,CEO,,,Adhara,,,,,,,,,118,Julio Faura,
justindrake,Justin Drake,Researcher,,,,,,,,,,,,,519,Justin Drake,
kashishkhullar,Kashish Khullar,,Graudate Research Assistant,,,Arizona State University,,,,,,,,,37,Kashish Khullar,
katrinadonaghy,Katrina Donaghy,,CEO,,,Civic Ledger,Advisor,Seed Space Venture Capital,,,,,,,553,Katrina Donaghy,
keikreutler,Kei Kreutler,,Strategy,,,GNOSIS.,,,,,,,,,389,Kei Kreutler,
kevinbritz,Kevin Britz,,Senior Software Engineer,,,Coinbase,,,,,,,,,363,Kevin Britz,
kevinowocki,Kevin Owocki,,Founder,,,supermodular.xyz,,,,,,,,,81,Kevin Owocki,
kevinseagraves,Kevin Seagraves,,Co-founder,CEO,CTO,NiftyApes,,,,,,,,,510,Kevin Seagraves,
kevinthizy,Kevin Thizy,,Senior Consultant,,,InTech,,,,,,,,,465,Kevin Thizy,
kirylyermakou,Kiryl Yermakou,,Blockchain Consultanting,,,Empire Tech LLC,,,,,,,,,447,Kiryl Yermakou,
kristijansedlak,Kristijan Sedlak,,Software Development Consultant,,,Genobank.io,,,,,,,,,134,Kristijan Sedlak,
kristofgazso,Kristof Gazso,,Founder,CEO,,Pimlico,,,,,,,,,466,Kristof Gazso,
kyledenhartog,Kyle Den Hartog,,Senior Cryptographic Security Engineer,,,Brave Software,Director & Principal Consultant,PryvIT,,,,,,,542,Kyle Den Hartog,
lanerettig,Lane Rettig,,member,,,Ewasm team,,,,,,,,,451,Lane Rettig,
laurentaapro,Laurent Aapro,,Advisor,,,StealthCompany,,,,,,,,,335,Laurent Aapro,
lauritzleifermann,Lauritz Leifermann,,Product Engineer,,,Spherity,,,,,,,,,408,Lauritz Leifermann,
leeraj,Lee Raj,,Technical Project Manager,,,ChainSafe Systems,,,,,,,,,117,Lee Raj,
leoarias,Leo Arias,,Sailing Master,,,Flashbots,,,,,,,,,446,Leo Arias,
leonidlogvinov,Leonid Logvinov,,Lead Software Engineer,,,Token Flow Insights SA,,,,,,,,,301,Leonid Logvinov,
lirazsiri,Liraz Siri,Meta steward,,,,,,,,,,,,,355,Liraz Siri,
longvuong,Long Vuong,,Founder,CEO,,Tomochain Lab Pte. Ltd. & TomoChain Vietnam,,,,,,,,,393,Long Vuong,
loredanacirstea,Loredana Cirstea,,Lead Software Engineer,,,The Laurel Project,Technical Programmer and Director,Kuip Limited,,,,,,,111,Loredana Cirstea,
louisguthmann,Louis Guthmann,,Product and research,,,StarkWare,,,,,,,,,353,Louis Guthmann,
lucascullen,Lucas Cullen,,Visionary,,,DLTx,Blockchain Mentor,RMIT University,Bitcoin Consultant & Developer,Bitcoin Brisbane,,,,,104,Lucas Cullen,
lucvankampen,Luc van Kampen,,Developer Relations,,,Ethereum Name Service,,,,,,,,,240,Luc van Kampen,
lukakacil,Luka Kacil,,Co-founder,CTO,,Shovels,,,,,,,,,549,Luka Kacil,
lukasschor,Lukas Schor,,Co-founder,,,Safe,,,,,,,,,194,Lukas Schor,
manuelolivi,Manuel Olivi,,Head Of Operations,,,Noku.io,Founder,Noku North Europe,CTO,IKI Lab LTD,,,,,523,Manuel Olivi,
marcgarreau,Marc Garreau,Core developer,,,,,,,,,,,,,508,Marc Garreau,
mariusvanderwijden,Marius Van Der Wijden,Software Developer,,,,,,,,,,,,,226,Marius Van Der Wijden,
markbeylin,Mark Beylin,,Co-founder,,,Myco,,,,,,,,,56,Mark Beylin,
martinholstswende,Martin Holst Swende,Go-ethereum maintainer and Ethereum security guy,Security Consultant,Founder,CEO,Dyno Security AB,,,,,,,,,2,Martin Holst Swende,
matiasarazi,Matias Arazi,,Blockchain Developer,,,Zerti,,,,,,,,,406,Matias Arazi,
mattgarnett,Matt Garnett,Software Engineer,Adjunct Lecturer,,,University of Colorado Boulder,,,,,,,,,145,Matt Garnett,
mattlockyer,Matt Lockyer,,Founder,,,Soloblock Solutions Inc.,Many hats,Proximity,,,,,,,48,Matt Lockyer,
mattluongo,Matt Luongo,,CEO,,,Thesis,,,,,,,,,299,Matt Luongo,
mattrusso,Matt Russo,,Co-founder,Lead Blockchain Engineer,,R.A.R.E Art,,,,,,,,,311,Matt Russo,
mattsolomon,Matt Solomon,,Co-founder,,,Floatify,,,,,,,,,499,Matt Solomon,
mehmetsabirkiraz,Mehmet Sabir Kiraz,,Program leader of Cyber Security and Digital Forensics,Senior Lecturer,,De Montfort University,,,,,,,,,357,Mehmet Sabir Kiraz,
micahzoltu,Micah Zoltu,,Founder,,,Serv.eth Support,,,,,,,,,19,Micah Zoltu,
michaelseiler,Michael Seiler,,Director,,,Prussian Castle and Garden Foundation,,,,,,,,,434,Michael Seiler,
michaelzargham,Michael Zargham,,Founder,CEO,,BlockScience,Strategic Advisor,BlockScience Lab,,,,,,,560,Michael Zargham,
mikhailkalinin,Mikhail Kalinin,developer,,,,,,,,,,,,,190,Mikhail Kalinin,
mikhailmelnik,Mikhail Melnik,,Lead Blockchain Developer,,,1inch Network,,,,,,,,,374,Mikhail Melnik,
mojtabatefagh,Mojtaba Tefagh,,Blockchain Programme Manager,,,The University of Edinburgh,Assistant Professor,Sharif University of Technology,,,,,,,367,Mojtaba Tefagh,
muditgupta,Mudit Gupta,,Blockchain Engineer,,,Polymath.,,,,,,,,,239,Mudit Gupta,
naimashhab,Naim Ashhab,,Smart contract developer,,,PWN.finance,,,,,,,,,286,Naim Ashhab,
nathanginnever,Nathan Ginnever,,Protocol Engineer,,,Gnosis,Founder,Finality Labs,,,,,,,180,Nathan Ginnever,
nickgheorghita,Nick Gheorghita,Snake Charmer,,,,,,,,,,,,,154,Nick Gheorghita,
nickjohnson,Nick Johnson,,Founder,Lead Developer,,Ethereum Name Service,,,,,,,,,10,Nick Johnson,
nickmudge,Nick Mudge,,Smart Contract Tech Advisor,,,Perfect Abstractions LLC,,,,,,,,,16,Nick Mudge,
nicolasventuro,Nicolas Venturo,,Blockchain Engineer,,,Balancer Labs,,,,,,,,,584,Nicolas Venturo,
noahzinsmeister,Noah Zinsmeister,,Engineer lead,,,Uniswap,,,,,,,,,511,Noah Zinsmeister,
oliverterbu,Oliver Terbu,,Blockchain Architect,Co-chair Authentication WG,,Decentrailized Identity Foundation,,,,,,,,,275,Oliver Terbu,
patrickgallagher,Patrick Gallagher,,Coder,Founder,,One Click Dapp,,,,,,,,,340,Patrick Gallagher,
patrickmccorry,Patrick McCorry,,Intern,,,Infura,,,,,,,,,582,Patrick McCorry,
paulbouchon,Paul Bouchon,,Senior Software Engineer,,,Fastly,,,,,,,,,57,Paul Bouchon,
pawelbylica,Pawel Bylica,,Full Stack Developer,,,Cube Code,,,,,,,,,83,Pawel Bylica,
payomdousti,Payom Dousti,,Co-founder,CEO,,Cozy Finance,,,,,,,,,567,Payom Dousti,
pedrogomes,Pedro Gomes,,Co-founder,,,WalletConnet,,,,,,,,,120,Pedro Gomes,
pellebraendgaard,Pelle Braendgaard,,CEO,,,Notabene,,,,,,,,,53,Pelle Braendgaard,
petergrassberger,Peter Grassberger,,Software Developer,,,lab10 collective eG,,,,,,,,,160,Peter Grassberger,
peterjihoonkim,Peter Jihoon Kim,,Head of Engineering,,,Coinbase,,,,,,,,,159,Peter Jihoon Kim,
peterszilagyi,Peter Szilagyi,Core developer,,,,,,,,,,,,,18,Peter Szilagyi,
philippbolte,Philipp Bolte,,ERP Cloud,,,Bolte LLC,,,,,,,,,268,Philipp Bolte,
philippecastonguay,Philippe Castonguay,,Director of Product,,,OxHorizon,,,,,,,,,177,Philippe Castonguay,
phyrextsai,Phyrex Tsai,,Founder,,,Portal Network,,,,,,,,,54,Phyrex Tsai,
pierrickturelier,Pierrick Turelier,,Smart Contract Engineer,,,PoolTogether Inc.,,,,,,,,,396,Pierrick Turelier,
piotrdyraga,Piotr Dyraga,,Tech Lead,,,Akena,,,,,,,,,427,Piotr Dyraga,
pol-malolebris,Pol-Malo Le Bris,,Journaliste,,,Option Finance,,,,,,,,,382,Pol-Malo Le Bris,
raphaelroullet,Raphael Roullet,,Head,,,Identity at Violet,,,,,,,,,388,Raphael Roullet,
remcobloemen,Remco Bloemen,,Head of blockchain,,,Worldcoin,Founding Partner,Wicked Ventures,,,,,,,29,Remco Bloemen,
richardmeissner,Richard Meissner,,Co-founder,,,Safe,,,,,,,,,82,Richard Meissner,
richardmoore,Richard Moore,,Founder,Lead Developer,,Ethereum Name Service,,,,,,,,,22,Richard Moore,
rjcatalano,RJ Catalano,,Senior Engineer,,,Knights of Degen,,,,,,,,,504,RJ Catalano,
robertobayardo,Roberto Bayardo,,Software Engineer,,,Coinbase,,,,,,,,,386,Roberto Bayardo,
robertogorini,Roberto Gorini,,Founder,CEO,,Noku AG,,,,,,,,,458,Roberto Gorini,
ronansandford,Ronan Sandford,,Founder,,,Etherplay,,,,,,,,,9,Ronan Sandford,
rosscampbell,Ross Campbell,,Legal Engineer,,,OpenLaw.,,,,,,,,,206,Ross Campbell,
ryanghods,Ryan Ghods,,Senior Software Engineer,,,OpenSea,,,,,,,,,318,Ryan Ghods,
sachasaint-leger,Sacha Saint-Leger,,Builder,,,hackingresear.ch.,,,,,,,,,364,Sacha Saint-Leger,
sachintomar,Sachin Tomar,,Co-founder,CTO,,Biconomy,,,,,,,,,578,Sachin Tomar,
santiagopalladino,Santiago Palladino,,Principal Enginner,,,Aztec,Council Member,Graph,Technical Member,Zeitgeist,,,,,116,Santiago Palladino,
scottburke,Scott Burke,,Senior Software Engineer,,,Censo Custody,,,,,,,,,441,Scott Burke,
seandarcy,Sean Darcy,,Business Operations,,,Meta,,,,,,,,,274,Sean Darcy,
seangulley,Sean Gulley,,Co-founder,,,Supranational,,,,,,,,,351,Sean Gulley,
seanpapanikolas,Sean Papanikolas,,Senior Software Engineer,,,Kraken Digital Asset Exchange,,,,,,,,,126,Sean Papanikolas,
sergiodemianlerner,Sergio Demian Lerner,,Chief Scientist,,,IOV Labs,Technical Advisor,CoinFabrik,Security Auditor,CoinFabrik,,,,,157,Sergio Demian Lerner,
shahafnacson,Shahaf Nacson,,Security Engineer,Cryptography,,Trail of Bits,,,,,,,,,572,Shahaf Nacson,
shanejonas,Shane Jonas,,Senior Full Stack Engineer,,,ConsenSys,,,,,,,,,112,Shane Jonas,
shudong,Shu Dong,,Software Engineer,,,Facebook Meta,,,,,,,,,229,Shu Dong,
simonjentzsch,Simon Jentzsch,,Vice President,,,Blockchains LLC,Founder,Slock.it,,,,,,,69,Simon Jentzsch,
simontian,Simon Tian,,Founder,CTO,,Fonus,Co-founder,Global,Thiel Fellow,The Thiel Foundation,Founder,CTO,Neptune,,192,Simon Tian,
sinamahmoodi,Sina Mahmoodi,Software engineer,,,,,,,,,,,,,152,Sina Mahmoodi,
sohamzemse,Soham Zemse,Software Developer,Open Source Blockchain Developer,,,,,,,,,,,,147,Soham Zemse,
thomasjayrush,Thomas Jay Rush,,Owner,,,"TrueBlocks, LLC",,,,,,,,,467,Thomas Jay Rush,
tjadenhess,Tjaden Hess,,Security Enginner,Cryptography,,Trail of Bits,,,,,,,,,12,Tjaden Hess,
tobiasoberstein,Tobias Oberstein,,CTO,,,ProTagged,Managing Director,typedef int GmbH,,,,,,,24,Tobias Oberstein,
tomaszkajetanstanczak,Tomasz Kajetan Stanczak,,Founder,,,Nethermind,Founder,Oiler Network,CEO,Twinstake,,,,,244,Tomasz Kajetan Stanczak,
tomaszstanczak,Tomasz Stanczak,,Founder,,,Nethermind,Founder,Oiler Network,CEO,Twinstake,,,,,359,Tomasz Stanczak,
tombrand,Tom Brand,,Product and research,,,StarkWare,,,,,,,,,144,Tom Brand,
tomcarchrae,Tom Carchrae,,CEO,,,Intellecti.ca,,,,,,,,,308,Tom Carchrae,
tommynicholas,Tommy Nicholas,,CEO,,,Alloy APIs,,,,,,,,,52,Tommy Nicholas,
tonymalghem,Tony Malghem,,CTO,,,Tokeny,,,,,,,,,372,Tony Malghem,
tonysheng,Tony Sheng,,Co-founder,,,Cozy Finance,,,,,,,,,422,Tony Sheng,
touficbatrice,Toufic Batrice,,Applied Cryptographer,,,Intu,,,,,,,,,570,Toufic Batrice,
varundeshpande,Varun Deshpande,,Co-founder,,,Juno,Co-founder,Nuo Network,,,,,,,368,Varun Deshpande,
victormaia,Victor Maia,,Lead Developer,,,Kind-Lang,,,,,,,,,439,Victor Maia,
viktorpernjek,Viktor Pernjek,,Full Stack Engineer,,,Taxtris,,,,,,,,,402,Viktor Pernjek,
vincenteli,Vincent Eli,,President,Blockchain Developer,,S3 LABS,,,,,,,,,105,Vincent Eli,
vitalikbuterin,Vitalik Buterin,Founder Ethereum,Bitcoin Magazine writer,,,,,,,,,,,,1,Vitalik Buterin,g. nicholas d?????andrea
vittoriominacori,Vittorio Minacori,,CEO,Co-founder,,NONCEPT,Blockchain Developer,FriendsFingers,,,,,,,84,Vittorio Minacori,
vunguyen,Vu Nguyen,,Software Engineer,,,Arista Networks,,,,,,,,,242,Vu Nguyen,
waynechang,Wayne Chang,,Co-founder,CEO,,"Spruce Systems, Inc.",,,,,,,,,198,Wayne Chang,
weijiazhang,Weijia Zhang,,VP of Engineering,,,Wanchain,Cognitive Architect,The Learning City,,,,,,,171,Weijia Zhang,
weitang,Wei Tang,,Core developer,,,paritytech,,,,,,,,,78,Wei Tang,
weiwuzhang,Weiwu Zhang,,Founder,CTO,,Smart Token Labs,Director,Computer Graphic and Cryptographic Technology,Member,Cointelegraph Innovation Circle,,,,,40,Weiwu Zhang,
