START_DATE,intra_day_vol,Date,Meeting
2016-05-18,0.035527177918908526,2016-05-18,0
2016-05-19,0.02452317559251063,2016-05-19,0
2016-05-20,0.043393008216504075,2016-05-20,0
2016-05-23,0.015254659804951037,2016-05-23,0
2016-05-24,0.019578612677599735,2016-05-24,0
2016-05-25,0.014264194562977594,2016-05-25,0
2016-05-26,0.01444207262828426,2016-05-26,0
2016-05-27,0.023502851109776013,2016-05-27,0
2016-05-28,0.028867040149127235,2016-05-28,0
2016-05-29,0.009844720134584936,2016-05-29,0
2016-05-30,0.01253489066221123,2016-05-30,0
2016-05-31,0.01864735262456801,2016-05-31,0
2016-06-01,0.014021151939178036,2016-06-01,0
2016-06-02,0.008581661211760603,2016-06-02,0
2016-06-03,0.00822880932239223,2016-06-03,0
2016-06-04,0.007389186515051204,2016-06-04,0
2016-06-05,0.0064693683257537205,2016-06-05,0
2016-06-06,0.0043671422840462605,2016-06-06,0
2016-06-07,0.00674437541020538,2016-06-07,0
2016-06-08,0.005925689230100228,2016-06-08,0
2016-06-09,0.0037690236554012565,2016-06-09,0
2016-06-10,0.01050941059330883,2016-06-10,0
2016-06-11,0.005397275533764249,2016-06-11,0
2016-06-12,0.012779832832512062,2016-06-12,0
2016-06-13,0.009320153536836013,2016-06-13,0
2016-06-14,0.01865898561164615,2016-06-14,0
2016-06-15,0.009785293329588395,2016-06-15,0
2016-06-16,0.010596417137800218,2016-06-16,0
2016-06-17,0.06576240121713559,2016-06-17,0
2016-06-18,0.04066340801765243,2016-06-18,0
2016-06-19,0.0321495018260976,2016-06-19,0
2016-06-20,0.028718998456681397,2016-06-20,0
2016-06-21,0.03243668471809336,2016-06-21,0
2016-06-22,0.030131538929339743,2016-06-22,0
2016-06-23,0.019876785324570368,2016-06-23,0
2016-06-24,0.011954684098166822,2016-06-24,0
2016-06-25,0.008340173068182313,2016-06-25,0
2016-06-26,0.008788881091393074,2016-06-26,0
2016-06-27,0.006993877795745512,2016-06-27,0
2016-06-28,0.024141878404591352,2016-06-28,0
2016-06-29,0.015520732758165163,2016-06-29,0
2016-06-30,0.009824982366042281,2016-06-30,0
2016-07-01,0.008205857921933795,2016-07-01,0
2016-07-02,0.0051461699250943535,2016-07-02,0
2016-07-03,0.005925580568121588,2016-07-03,0
2016-07-04,0.009228966302555052,2016-07-04,0
2016-07-05,0.01954488373267446,2016-07-05,0
2016-07-06,0.01464781000264946,2016-07-06,0
2016-07-07,0.012026283605348083,2016-07-07,0
2016-07-08,0.016550552206080347,2016-07-08,0
2016-07-09,0.013978870981479848,2016-07-09,0
2016-07-10,0.012724275778084134,2016-07-10,0
2016-07-11,0.011090997274153596,2016-07-11,0
2016-07-12,0.008408601644616242,2016-07-12,0
2016-07-13,0.006600436279694148,2016-07-13,0
2016-07-14,0.013159721803526639,2016-07-14,0
2016-07-15,0.015261991717545909,2016-07-15,0
2016-07-16,0.008078071162853272,2016-07-16,0
2016-07-17,0.011076377196074686,2016-07-17,0
2016-07-18,0.006203906780802226,2016-07-18,0
2016-07-19,0.009425008466057759,2016-07-19,0
2016-07-20,0.012894759662624128,2016-07-20,0
2016-07-21,0.010311523538586026,2016-07-21,0
2016-07-22,0.010813881043817822,2016-07-22,0
2016-07-23,0.009104214894655007,2016-07-23,0
2016-07-24,0.017482399830827184,2016-07-24,0
2016-07-25,0.013238516768269837,2016-07-25,0
2016-07-26,0.01836809378138116,2016-07-26,0
2016-07-27,0.015346606463078397,2016-07-27,0
2016-07-28,0.007618342723390195,2016-07-28,0
2016-07-29,0.006131640018357933,2016-07-29,0
2016-07-30,0.00419152788671989,2016-07-30,0
2016-07-31,0.011623444365184536,2016-07-31,0
2016-08-01,0.008486824043610466,2016-08-01,0
2016-08-02,0.03682773394506771,2016-08-02,0
2016-08-03,0.025096886054475236,2016-08-03,0
2016-08-04,0.016352773975276114,2016-08-04,0
2016-08-05,0.008662021136402565,2016-08-05,0
2016-08-06,0.009575742765424066,2016-08-06,0
2016-08-07,0.0055464404885828605,2016-08-07,0
2016-08-08,0.00434253980495475,2016-08-08,0
2016-08-09,0.010859633537639182,2016-08-09,0
2016-08-10,0.008794130269060969,2016-08-10,0
2016-08-11,0.00575725562974009,2016-08-11,0
2016-08-12,0.0044858635206356835,2016-08-12,0
2016-08-13,0.0031093787587825185,2016-08-13,0
2016-08-14,0.004242014249730093,2016-08-14,0
2016-08-15,0.004260068242237511,2016-08-15,0
2016-08-16,0.004576041044371114,2016-08-16,0
2016-08-17,0.00448960636755555,2016-08-17,0
2016-08-18,0.005210589222017527,2016-08-18,0
2016-08-19,0.002880250354072017,2016-08-19,0
2016-08-20,0.005965332344666746,2016-08-20,0
2016-08-21,0.00402831091696336,2016-08-21,0
2016-08-22,0.004365474539392101,2016-08-22,0
2016-08-23,0.0033449219757603374,2016-08-23,0
2016-08-24,0.0026860692535629416,2016-08-24,0
2016-08-25,0.00456325754419304,2016-08-25,0
2016-08-26,0.0034187515220222863,2016-08-26,0
2016-08-27,0.002244336577008939,2016-08-27,0
2016-08-28,0.0032632343428203123,2016-08-28,0
2016-08-29,0.0062719798796863355,2016-08-29,0
2016-08-30,0.004138206901342487,2016-08-30,0
2016-08-31,0.007151026473401586,2016-08-31,0
2016-09-01,0.010649889347922659,2016-09-01,0
2016-09-02,0.004534005817608973,2016-09-02,0
2016-09-03,0.008634901907106815,2016-09-03,0
2016-09-04,0.005669490090738533,2016-09-04,0
2016-09-05,0.0032085165393311286,2016-09-05,0
2016-09-06,0.004318278408119828,2016-09-06,0
2016-09-07,0.003960371698063785,2016-09-07,0
2016-09-08,0.005017114142846483,2016-09-08,0
2016-09-09,0.00358378834372319,2016-09-09,0
2016-09-10,0.006009080998138555,2016-09-10,0
2016-09-11,0.006242168756012454,2016-09-11,0
2016-09-12,0.005313879671499942,2016-09-12,0
2016-09-13,0.003334269596416866,2016-09-13,0
2016-09-14,0.0025079156693148794,2016-09-14,0
2016-09-15,0.002306520637737505,2016-09-15,0
2016-09-16,0.0067433610047850645,2016-09-16,0
2016-09-17,0.0034339213474929003,2016-09-17,0
2016-09-18,0.005888461876059638,2016-09-18,0
2016-09-19,0.007152393262892415,2016-09-19,0
2016-09-20,0.009411253044706254,2016-09-20,0
2016-09-21,0.01473838143017219,2016-09-21,0
2016-09-22,0.012032107720646043,2016-09-22,0
2016-09-23,0.003972792367099184,2016-09-23,0
2016-09-24,0.007100069363727747,2016-09-24,0
2016-09-25,0.004271297692295286,2016-09-25,0
2016-09-26,0.00430153258598145,2016-09-26,0
2016-09-27,0.004207614914309386,2016-09-27,0
2016-09-28,0.006895449869809056,2016-09-28,0
2016-09-29,0.0029454975285685913,2016-09-29,0
2016-09-30,0.002250732350584613,2016-09-30,0
2016-10-01,0.003307571718818721,2016-10-01,0
2016-10-02,0.00182360392732794,2016-10-02,0
2016-10-03,0.0029390930580707156,2016-10-03,0
2016-10-04,0.0037151754641095193,2016-10-04,0
2016-10-05,0.003452309166794329,2016-10-05,0
2016-10-06,0.004863955765884455,2016-10-06,0
