,Names_to_Keep,Names_to_Replace
1413,Edgar Aroutiounian,@edgararout
1056,aaronbuchwald,aaron
1057,aaronbuchwald,Aron
1008,Aditya Kode,Aditya
,Afri Schoeden,Afr Schoe
,Afri Schoeden,Afri Schoedon
979,Alex Sharov,alex.sharov
507,Alex Sharov,Alexey Sharov
27,Alexey Akhunov,Alexey
1166,Andrew Ashikhmin,andrew
268,Armin Braun,Armin
87,John Chase,Chase
169,Christoph Jentzsch,CJentzsch
838,Corey Lin,Cory
1407,Dave Appleton,Dave
1041,Edward Evans,Edward
1463,Eugene Lepeico,Eugene
1481,Evgeny Danienko,Evgeny
,Giulio M,Giulio
60,Giulio Rebuffo,Giulio rebuffo
1299,Ikko Ashimine,Ikko Eltociear Ashimine
333,Jorge Arce-Garro,Jorge
707,kevin.xu,Kevin
1303,Leonard Chinonso,leonardchinonso
392,Lightcilent,lightclient@protonmail.com
1361,Marek Moraczynski,Marek Moraczy?ski
1335,Martin Becze,Martin
1267,Matt Kula,Matt K
936,Peter Szilagyi,Péter Szilágyi
967,Rai Ratan Sur,Ratan (Rai) Sur
853,Richard Hart,Rich?rd
856,Ricardo Domingos,Rick
1317,SilentCicero,silence
,Tomasz Stanczak,Tomasz K. Stanczak
461,Tomasz Stanczak,tkstanczak
815,Vitalik Buterin,vbuterin
462,xD AKA Rapper King Of cn background diablo & revelations,"XuDon9 Liu AKA Rapper Of CN background diablo & revelations, a man optimistic, negative, silent, active, Taoism"
624,Yohann Leon,Yohann LEON
384,Zsfelfoldi,Zsolt Felfoldi
,Zsfelfoldi,zsfelfoldi
