,stats,Value
0,Number of Total EIPs,639.0
1,Number of Unique Authors,698.0
2,Average Number of Authors per EIP,2.0735524256651017
3,Percent of EIPs by Top 10 Authors,0.35837245696400627
4,Percent of  Finalized EIPs by Top 10 Authors,0.5822784810126582
5,HHI of Authorship,0.005496048415806336
6,HHI of Authors for Finalized EIPs,0.01259021469389614
7,Number of Unique non-author Contributors to EIP Repository,373.0
8,Average Unique non-author Contributor per EIP,0.5837245696400626
9,Percent of  Commits by Top 10 contributors,0.4567929759704251
10,HHI of EIP Github Contributors,0.033860030203532177
11,Number of Final EIPs,158.0
12,Number of Failed EIPs,404.0
13,Number of In-Progress EIPs,75.0
14,Number Authors for which we have Company Data,395.0
15,No Company Boasts more than this authors,7.0
16,Followed by this many authors,4.0
17,HHI of Companies,0.0037493991347540456
18,HHI of All Clients Contributors,0.19844619256879237
19,Average Clients Commits per Day,1.3832589494709904
20,Top 10 Client Contributors as a Percent of Total,0.6218496875070508
21,HHI of Client Contributors,0.06314964301739588
22,Percent of EIP Authors that are clients,0.08739255014326648
23,Percent of EIP Contributors that are clients,0.336676217765043
